Categoría;Pregunta;Respuesta
Terreno y Estudio de Suelos;¿Por qué es importante controlar el uso de la capacidad portante del vecino?;Porque una ejecución incorrecta puede causar cimientos pequeños o sobredimensionados. La referencia correcta es: No como valor automático. Sirve como antecedente, pero cada lote puede tener rellenos, humedad y estratos diferentes.
Terreno y Estudio de Suelos;¿Qué hago si aparece agua en la excavación?;Debe identificarse si es nivel freático, fuga, lluvia o filtración. No se vacía sobre agua, barro o suelo lavado sin estabilizar el fondo.
Terreno y Estudio de Suelos;¿Cuál es la forma correcta de resolver el agua encontrada al excavar en una vivienda autoconstruida?;Debe identificarse si es nivel freático, fuga, lluvia o filtración. No se vacía sobre agua, barro o suelo lavado sin estabilizar el fondo.
Terreno y Estudio de Suelos;¿Cómo se verifica el agua encontrada al excavar en obra?;Debe identificarse si es nivel freático, fuga, lluvia o filtración. No se vacía sobre agua, barro o suelo lavado sin estabilizar el fondo. Debe revisarse nivel, reaparición, origen y estado del suelo.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con el agua encontrada al excavar?;El error frecuente es bombear y vaciar de inmediato. Esto puede causar lavado de finos y pérdida de apoyo.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de bombear y vaciar de inmediato?;Este error puede generar lavado de finos y pérdida de apoyo. La acción correcta es eliminar la causa y aprobar el fondo.
Terreno y Estudio de Suelos;¿Por qué es importante controlar el agua encontrada al excavar?;Porque una ejecución incorrecta puede causar lavado de finos y pérdida de apoyo. La referencia correcta es: Debe identificarse si es nivel freático, fuga, lluvia o filtración. No se vacía sobre agua, barro o suelo lavado sin estabilizar el fondo.
Terreno y Estudio de Suelos;¿Se puede construir sobre un terreno rellenado?;Solo después de conocer espesor, material y compactación. El relleno no controlado debe retirarse, mejorarse o atravesarse con una solución diseñada.
Terreno y Estudio de Suelos;¿Existe una medida mínima universal para la construcción sobre relleno?;Solo después de conocer espesor, material y compactación. El relleno no controlado debe retirarse, mejorarse o atravesarse con una solución diseñada.
Terreno y Estudio de Suelos;¿Cómo se verifica la construcción sobre relleno en obra?;Solo después de conocer espesor, material y compactación. El relleno no controlado debe retirarse, mejorarse o atravesarse con una solución diseñada. Debe revisarse calicatas, basura, densidad y uniformidad.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con la construcción sobre relleno?;El error frecuente es construir sobre relleno suelto. Esto puede causar hundimientos y pisos inclinados.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de construir sobre relleno suelto?;Este error puede generar hundimientos y pisos inclinados. La acción correcta es evaluar y tratar el relleno.
Terreno y Estudio de Suelos;¿Por qué es importante controlar la construcción sobre relleno?;Porque una ejecución incorrecta puede causar hundimientos y pisos inclinados. La referencia correcta es: Solo después de conocer espesor, material y compactación. El relleno no controlado debe retirarse, mejorarse o atravesarse con una solución diseñada.
Terreno y Estudio de Suelos;¿Puedo construir una vivienda de albañilería en una ladera?;Sí solo con evaluación de estabilidad, cortes, rellenos, drenaje, sismo y predios vecinos. La vivienda y el talud deben diseñarse como un conjunto.
Terreno y Estudio de Suelos;¿Existe una medida mínima universal para la construcción en ladera?;Sí solo con evaluación de estabilidad, cortes, rellenos, drenaje, sismo y predios vecinos. La vivienda y el talud deben diseñarse como un conjunto.
Terreno y Estudio de Suelos;¿Cómo se verifica la construcción en ladera en obra?;Sí solo con evaluación de estabilidad, cortes, rellenos, drenaje, sismo y predios vecinos. La vivienda y el talud deben diseñarse como un conjunto. Debe revisarse grietas, pendiente, agua, cortes y rellenos.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con la construcción en ladera?;El error frecuente es cortar el cerro verticalmente sin sostenimiento. Esto puede causar deslizamiento y pérdida de apoyo.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de cortar el cerro verticalmente sin sostenimiento?;Este error puede generar deslizamiento y pérdida de apoyo. La acción correcta es realizar estudio geotécnico.
Terreno y Estudio de Suelos;¿Por qué es importante controlar la construcción en ladera?;Porque una ejecución incorrecta puede causar deslizamiento y pérdida de apoyo. La referencia correcta es: Sí solo con evaluación de estabilidad, cortes, rellenos, drenaje, sismo y predios vecinos. La vivienda y el talud deben diseñarse como un conjunto.
Excavaciones, Rellenos y Compactación;¿Cuál es el ancho mínimo de una zanja para cimiento corrido?;No hay un ancho único. Debe permitir ejecutar el ancho calculado del cimiento, trabajar con seguridad y mantener estables las paredes.
Excavaciones, Rellenos y Compactación;¿Existe una medida mínima universal para el ancho de una zanja de cimentación?;No hay un ancho único. Debe permitir ejecutar el ancho calculado del cimiento, trabajar con seguridad y mantener estables las paredes.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica el ancho de una zanja de cimentación en obra?;No hay un ancho único. Debe permitir ejecutar el ancho calculado del cimiento, trabajar con seguridad y mantener estables las paredes. Debe revisarse plano, ancho del fondo y espacio de trabajo.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con el ancho de una zanja de cimentación?;El error frecuente es hacer la zanja más angosta que el cimiento. Esto puede causar reducción del área de apoyo.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de hacer la zanja más angosta que el cimiento?;Este error puede generar reducción del área de apoyo. La acción correcta es corregir la excavación antes del vaciado.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar el ancho de una zanja de cimentación?;Porque una ejecución incorrecta puede causar reducción del área de apoyo. La referencia correcta es: No hay un ancho único. Debe permitir ejecutar el ancho calculado del cimiento, trabajar con seguridad y mantener estables las paredes.
Excavaciones, Rellenos y Compactación;¿Puedo dejar una zanja profunda con paredes verticales?;Solo si el suelo y la profundidad son estables o existe sostenimiento. En suelo suelto, húmedo o de relleno puede colapsar sin aviso.
Excavaciones, Rellenos y Compactación;¿Cuál es la forma correcta de resolver las paredes verticales de una excavación en una vivienda autoconstruida?;Solo si el suelo y la profundidad son estables o existe sostenimiento. En suelo suelto, húmedo o de relleno puede colapsar sin aviso.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica las paredes verticales de una excavación en obra?;Solo si el suelo y la profundidad son estables o existe sostenimiento. En suelo suelto, húmedo o de relleno puede colapsar sin aviso. Debe revisarse grietas, desprendimientos, humedad y vibración.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con las paredes verticales de una excavación?;El error frecuente es dejar una pared vertical inestable. Esto puede causar derrumbe y sepultamiento.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de dejar una pared vertical inestable?;Este error puede generar derrumbe y sepultamiento. La acción correcta es dar talud o entibar.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar las paredes verticales de una excavación?;Porque una ejecución incorrecta puede causar derrumbe y sepultamiento. La referencia correcta es: Solo si el suelo y la profundidad son estables o existe sostenimiento. En suelo suelto, húmedo o de relleno puede colapsar sin aviso.
Excavaciones, Rellenos y Compactación;¿Se puede amontonar la tierra al borde de la excavación?;No debe colocarse pegada al borde porque aumenta el empuje y bloquea la salida.
Excavaciones, Rellenos y Compactación;¿Cuál es la forma correcta de resolver el material acumulado junto a la zanja en una vivienda autoconstruida?;No debe colocarse pegada al borde porque aumenta el empuje y bloquea la salida.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica el material acumulado junto a la zanja en obra?;No debe colocarse pegada al borde porque aumenta el empuje y bloquea la salida. Debe revisarse distancia, altura del montón y circulación.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con el material acumulado junto a la zanja?;El error frecuente es cargar el borde con tierra o materiales. Esto puede causar colapso de la pared.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de cargar el borde con tierra o materiales?;Este error puede generar colapso de la pared. La acción correcta es retirar las cargas a distancia segura.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar el material acumulado junto a la zanja?;Porque una ejecución incorrecta puede causar colapso de la pared. La referencia correcta es: No debe colocarse pegada al borde porque aumenta el empuje y bloquea la salida.
Excavaciones, Rellenos y Compactación;¿Cómo debe quedar el fondo antes de cimentar?;Debe estar firme, uniforme, limpio, en la cota indicada y sin barro, raíces, basura ni suelo removido.
Excavaciones, Rellenos y Compactación;¿Cuál es la forma correcta de resolver el fondo de la excavación en una vivienda autoconstruida?;Debe estar firme, uniforme, limpio, en la cota indicada y sin barro, raíces, basura ni suelo removido.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica el fondo de la excavación en obra?;Debe estar firme, uniforme, limpio, en la cota indicada y sin barro, raíces, basura ni suelo removido. Debe revisarse nivel, consistencia, humedad y limpieza.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con el fondo de la excavación?;El error frecuente es vaciar sobre barro o tierra suelta. Esto puede causar asentamientos y contaminación del concreto.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de vaciar sobre barro o tierra suelta?;Este error puede generar asentamientos y contaminación del concreto. La acción correcta es retirar el material alterado.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar el fondo de la excavación?;Porque una ejecución incorrecta puede causar asentamientos y contaminación del concreto. La referencia correcta es: Debe estar firme, uniforme, limpio, en la cota indicada y sin barro, raíces, basura ni suelo removido.
Excavaciones, Rellenos y Compactación;¿Qué hago si excavé más profundo de lo indicado?;No se rellena con tierra suelta. Se corrige con material controlado, concreto pobre u otra solución aprobada.
Excavaciones, Rellenos y Compactación;¿Cuál es la forma correcta de resolver la sobreexcavación en una vivienda autoconstruida?;No se rellena con tierra suelta. Se corrige con material controlado, concreto pobre u otra solución aprobada.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica la sobreexcavación en obra?;No se rellena con tierra suelta. Se corrige con material controlado, concreto pobre u otra solución aprobada. Debe revisarse profundidad excedida y extensión.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con la sobreexcavación?;El error frecuente es rellenar con desmonte. Esto puede causar asentamiento localizado.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de rellenar con desmonte?;Este error puede generar asentamiento localizado. La acción correcta es corregir con una solución controlada.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar la sobreexcavación?;Porque una ejecución incorrecta puede causar asentamiento localizado. La referencia correcta es: No se rellena con tierra suelta. Se corrige con material controlado, concreto pobre u otra solución aprobada.
Excavaciones, Rellenos y Compactación;¿Puedo excavar pegado a la cimentación del vecino?;Solo con una secuencia y sostenimiento que no retiren su apoyo. Puede requerir excavación por tramos, apuntalamiento o recalce.
Excavaciones, Rellenos y Compactación;¿Existe una medida mínima universal para la excavación junto al vecino?;Solo con una secuencia y sostenimiento que no retiren su apoyo. Puede requerir excavación por tramos, apuntalamiento o recalce.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica la excavación junto al vecino en obra?;Solo con una secuencia y sostenimiento que no retiren su apoyo. Puede requerir excavación por tramos, apuntalamiento o recalce. Debe revisarse profundidad vecina, grietas y medianera.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con la excavación junto al vecino?;El error frecuente es excavar por debajo sin sostenimiento. Esto puede causar asentamiento o colapso del predio colindante.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de excavar por debajo sin sostenimiento?;Este error puede generar asentamiento o colapso del predio colindante. La acción correcta es diseñar la excavación y el recalce.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar la excavación junto al vecino?;Porque una ejecución incorrecta puede causar asentamiento o colapso del predio colindante. La referencia correcta es: Solo con una secuencia y sostenimiento que no retiren su apoyo. Puede requerir excavación por tramos, apuntalamiento o recalce.
Excavaciones, Rellenos y Compactación;¿Se puede rellenar debajo del piso con desmonte?;No. Debe usarse material seleccionado, sin basura ni materia orgánica, colocado y compactado por capas.
Excavaciones, Rellenos y Compactación;¿Cuál es la forma correcta de resolver el relleno debajo del piso en una vivienda autoconstruida?;No. Debe usarse material seleccionado, sin basura ni materia orgánica, colocado y compactado por capas.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica el relleno debajo del piso en obra?;No. Debe usarse material seleccionado, sin basura ni materia orgánica, colocado y compactado por capas. Debe revisarse material, capas, humedad y compactación.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con el relleno debajo del piso?;El error frecuente es cubrir escombros con contrapiso. Esto puede causar hundimiento y rotura de tuberías.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de cubrir escombros con contrapiso?;Este error puede generar hundimiento y rotura de tuberías. La acción correcta es retirar y compactar material adecuado.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar el relleno debajo del piso?;Porque una ejecución incorrecta puede causar hundimiento y rotura de tuberías. La referencia correcta es: No. Debe usarse material seleccionado, sin basura ni materia orgánica, colocado y compactado por capas.
Excavaciones, Rellenos y Compactación;¿Qué espesor debe tener cada capa de relleno?;No existe uno universal: depende del material y equipo. Debe ser lo bastante delgada para que la compactación alcance toda la capa.
Excavaciones, Rellenos y Compactación;¿Existe una medida mínima universal para el espesor de capas de compactación?;No existe uno universal: depende del material y equipo. Debe ser lo bastante delgada para que la compactación alcance toda la capa.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica el espesor de capas de compactación en obra?;No existe uno universal: depende del material y equipo. Debe ser lo bastante delgada para que la compactación alcance toda la capa. Debe revisarse tipo de suelo, equipo, humedad y densidad.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con el espesor de capas de compactación?;El error frecuente es colocar una capa gruesa y compactar solo arriba. Esto puede causar suelo suelto debajo de una costra dura.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de colocar una capa gruesa y compactar solo arriba?;Este error puede generar suelo suelto debajo de una costra dura. La acción correcta es reprocesar por capas.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar el espesor de capas de compactación?;Porque una ejecución incorrecta puede causar suelo suelto debajo de una costra dura. La referencia correcta es: No existe uno universal: depende del material y equipo. Debe ser lo bastante delgada para que la compactación alcance toda la capa.
Excavaciones, Rellenos y Compactación;¿Cómo sé si un relleno está bien compactado?;La apariencia no basta. Se verifica el procedimiento y, cuando corresponde, la densidad de campo comparada con la especificación.
Excavaciones, Rellenos y Compactación;¿Existe una medida mínima universal para el control de compactación?;La apariencia no basta. Se verifica el procedimiento y, cuando corresponde, la densidad de campo comparada con la especificación.
Excavaciones, Rellenos y Compactación;¿Cómo se verifica el control de compactación en obra?;La apariencia no basta. Se verifica el procedimiento y, cuando corresponde, la densidad de campo comparada con la especificación. Debe revisarse humedad, pasadas, capas y ensayos.
Excavaciones, Rellenos y Compactación;¿Qué error frecuente se comete con el control de compactación?;El error frecuente es construir sobre relleno sin control. Esto puede causar asentamiento posterior.
Excavaciones, Rellenos y Compactación;¿Qué consecuencias puede tener el error de construir sobre relleno sin control?;Este error puede generar asentamiento posterior. La acción correcta es ensayar o rehacer los sectores deficientes.
Excavaciones, Rellenos y Compactación;¿Por qué es importante controlar el control de compactación?;Porque una ejecución incorrecta puede causar asentamiento posterior. La referencia correcta es: La apariencia no basta. Se verifica el procedimiento y, cuando corresponde, la densidad de campo comparada con la especificación.
Cimientos Corridos;¿Cuál es el ancho mínimo de un cimiento corrido?;El RNE no fija un ancho universal. Se calcula con las cargas, capacidad admisible, asentamientos, profundidad y excentricidad. Valores usuales de manuales son solo referenciales.
Cimientos Corridos;¿Existe una medida mínima universal para el ancho del cimiento corrido?;El RNE no fija un ancho universal. Se calcula con las cargas, capacidad admisible, asentamientos, profundidad y excentricidad. Valores usuales de manuales son solo referenciales.
Cimientos Corridos;¿Cómo se verifica el ancho del cimiento corrido en obra?;El RNE no fija un ancho universal. Se calcula con las cargas, capacidad admisible, asentamientos, profundidad y excentricidad. Valores usuales de manuales son solo referenciales. Debe revisarse plano, ancho real, suelo y centrado del muro.
Cimientos Corridos;¿Qué error frecuente se comete con el ancho del cimiento corrido?;El error frecuente es usar 40 cm para cualquier terreno. Esto puede causar presiones excesivas y asentamiento.
Cimientos Corridos;¿Qué consecuencias puede tener el error de usar 40 cm para cualquier terreno?;Este error puede generar presiones excesivas y asentamiento. La acción correcta es dimensionar con datos del suelo.
Cimientos Corridos;¿Por qué es importante controlar el ancho del cimiento corrido?;Porque una ejecución incorrecta puede causar presiones excesivas y asentamiento. La referencia correcta es: El RNE no fija un ancho universal. Se calcula con las cargas, capacidad admisible, asentamientos, profundidad y excentricidad. Valores usuales de manuales son solo referenciales.
Cimientos Corridos;¿Cuál es la profundidad mínima de un cimiento corrido?;"La E.050 señala que la profundidad de elementos portantes o no portantes no arriostrados lateralmente no debe ser menor de 0.80 m, salvo roca; la profundidad final depende del suelo y del diseño."
Cimientos Corridos;¿Qué establece el RNE sobre la profundidad del cimiento corrido?;"La E.050 señala que la profundidad de elementos portantes o no portantes no arriostrados lateralmente no debe ser menor de 0.80 m, salvo roca; la profundidad final depende del suelo y del diseño."
Cimientos Corridos;¿Cómo se verifica la profundidad del cimiento corrido en obra?;"La E.050 señala que la profundidad de elementos portantes o no portantes no arriostrados lateralmente no debe ser menor de 0.80 m, salvo roca; la profundidad final depende del suelo y del diseño. Debe revisarse cota, estrato de apoyo y condición lateral."
Cimientos Corridos;¿Qué error frecuente se comete con la profundidad del cimiento corrido?;El error frecuente es usar 0.80 m como regla aunque haya relleno. Esto puede causar apoyo sobre suelo débil.
Cimientos Corridos;¿Qué consecuencias puede tener el error de usar 0.80 m como regla aunque haya relleno?;Este error puede generar apoyo sobre suelo débil. La acción correcta es profundizar o cambiar la solución.
Cimientos Corridos;¿Por qué es importante controlar la profundidad del cimiento corrido?;"Porque una ejecución incorrecta puede causar apoyo sobre suelo débil. La referencia correcta es: La E.050 señala que la profundidad de elementos portantes o no portantes no arriostrados lateralmente no debe ser menor de 0.80 m, salvo roca; la profundidad final depende del suelo y del diseño."
Cimientos Corridos;¿Cuál es el peralte mínimo de un cimiento corrido?;No existe un peralte universal. Depende del ancho, cargas, suelo, material, cortante y flexión y debe figurar en el plano.
Cimientos Corridos;¿Existe una medida mínima universal para el peralte del cimiento corrido?;No existe un peralte universal. Depende del ancho, cargas, suelo, material, cortante y flexión y debe figurar en el plano.
Cimientos Corridos;¿Cómo se verifica el peralte del cimiento corrido en obra?;No existe un peralte universal. Depende del ancho, cargas, suelo, material, cortante y flexión y debe figurar en el plano. Debe revisarse altura, ancho y continuidad.
Cimientos Corridos;¿Qué error frecuente se comete con el peralte del cimiento corrido?;El error frecuente es reducir el peralte para ahorrar. Esto puede causar fisuración o corte.
Cimientos Corridos;¿Qué consecuencias puede tener el error de reducir el peralte para ahorrar?;Este error puede generar fisuración o corte. La acción correcta es respetar la sección calculada.
Cimientos Corridos;¿Por qué es importante controlar el peralte del cimiento corrido?;Porque una ejecución incorrecta puede causar fisuración o corte. La referencia correcta es: No existe un peralte universal. Depende del ancho, cargas, suelo, material, cortante y flexión y debe figurar en el plano.
Cimientos Corridos;¿El muro debe quedar centrado sobre el cimiento?;En una condición interior normal debe transmitir su carga de forma compatible con el centro. En linderos la excentricidad requiere una solución diseñada.
Cimientos Corridos;¿Existe una medida mínima universal para el centrado del muro sobre el cimiento?;En una condición interior normal debe transmitir su carga de forma compatible con el centro. En linderos la excentricidad requiere una solución diseñada.
Cimientos Corridos;¿Cómo se verifica el centrado del muro sobre el cimiento en obra?;En una condición interior normal debe transmitir su carga de forma compatible con el centro. En linderos la excentricidad requiere una solución diseñada. Debe revisarse ejes, lindero y dimensiones.
Cimientos Corridos;¿Qué error frecuente se comete con el centrado del muro sobre el cimiento?;El error frecuente es dejar el muro en el borde sin solución. Esto puede causar giro y presión desigual.
Cimientos Corridos;¿Qué consecuencias puede tener el error de dejar el muro en el borde sin solución?;Este error puede generar giro y presión desigual. La acción correcta es rediseñar la cimentación.
Cimientos Corridos;¿Por qué es importante controlar el centrado del muro sobre el cimiento?;Porque una ejecución incorrecta puede causar giro y presión desigual. La referencia correcta es: En una condición interior normal debe transmitir su carga de forma compatible con el centro. En linderos la excentricidad requiere una solución diseñada.
